x1,y1,z1,x2,y2,z2,angle,type
5.8016856036726,-5.24403977102202,46.597,5.95093708678584,-5.08258042623202,46.597,0.0,B
5.95093708678584,-5.08258042623202,46.597,6.33136699797834,-4.6000073844409,46.597,0.0,B
5.08258042623202,-5.95093708678584,46.597,5.08258042623202,-5.95093708678584,44.9748089608923,0.0785398163397448,C
5.53381766956592,-5.53381766956592,46.597,5.53381766956592,-5.53381766956592,46.1847533245235,3.14159265358979,C
5.24403977102202,-5.8016856036726,46.597,5.53381766956592,-5.53381766956592,46.1847533245235,-3.14159265358979,C
5.8016856036726,-5.24403977102202,46.597,5.53381766956592,-5.53381766956592,46.1847533245235,-3.14159265358979,C
5.95093708678584,-5.08258042623202,46.597,5.95093708678584,-5.08258042623202,44.9748089608923,0.0785398163397448,C
6.33136699797834,-4.6000073844409,46.597,6.33136699797834,-4.6000073844409,45.6167525126618,3.14159265358979,C
5.95093708678584,-5.08258042623202,44.9748089608923,6.33136699797834,-4.6000073844409,45.6167525126618,3.14159265358979,C
5.53381766956592,-5.53381766956592,46.1847533245235,5.53381766956592,-5.53381766956592,44.3328654091228,-3.14159265358979,C
5.08258042623202,-5.95093708678584,44.9748089608923,5.53381766956592,-5.53381766956592,44.3328654091228,3.14159265358979,C
5.95093708678584,-5.08258042623202,44.9748089608923,5.53381766956592,-5.53381766956592,44.3328654091228,3.14159265358979,C
5.08258042623202,-5.95093708678584,44.9748089608923,5.08258042623202,-5.95093708678584,43.9955,0.0785398163397448,C
5.53381766956592,-5.53381766956592,44.3328654091228,5.53381766956592,-5.53381766956592,43.9955,3.14159265358979,C
5.95093708678584,-5.08258042623202,44.9748089608923,5.95093708678584,-5.08258042623202,43.9955,0.0785398163397448,C
6.33136699797834,-4.6000073844409,45.6167525126618,6.33136699797834,-4.6000073844409,43.9955,-3.14159265358979,C
5.08258042623202,-5.95093708678584,43.9955,5.53381766956592,-5.53381766956592,43.9955,0.0,B
5.53381766956592,-5.53381766956592,43.9955,5.95093708678584,-5.08258042623202,43.9955,0.0,B
5.95093708678584,-5.08258042623202,43.9955,6.33136699797834,-4.6000073844409,43.9955,0.0,B
6.33136699797834,-4.6000073844409,46.597,6.67276192623513,-4.08907376746702,46.597,0.0,B
6.33136699797834,-4.6000073844409,45.6167525126618,6.67276192623513,-4.08907376746702,44.9748089608923,3.14159265358979,C
6.33136699797834,-4.6000073844409,43.9955,6.67276192623513,-4.08907376746702,43.9955,0.0,B
